tic,ch,dltt,ebit,emp,fatd,tie
EMQQ,,,,,,
ICBK,108.457,71.652,31.559,0.174,,25.55
TBI,37.608,65.949,67.741,6.2,,
HMTXF,0.024,0,-4.696,,,
VXM.B,,,,,,
ZXM.,,,,,,
BLCM,91.028,26.581,-85.3,0.107,,
HCA,621,35076,7218,280,,
CYFL,6.698,8.259,7.771,,,0.887
SND,2.639,43.709,55.753,0.285,,
FSF.,,,,,,
PUD.,,,,,,
HIE,,,,,,
JGH,,,,,,
LOWC,,,,,,
XLNX,1777.703,796.074,834.44,4.891,,
UTGN,28.788,0,20.187,0.04,,
KBND,,,,,,
NRXCF,0,0,-1.272,,,
EWLU,0.009,0.467,-0.913,0.013,,
BCTX,0.193,0,-6.223,,,
IBDL,,,,,,
VEI,18.286,1218.558,140.368,,,
ELRE,0.001,0.046,-0.206,0.008,,
GNSS,18.819,0.033,3.136,0.083,,
CRBN,,,,,,
VALX,,,,,,
XSOE,,,,,,
TLRY,497.222,406.248,2.677,1.2,,
DBEZ,,,,,,
GAA,,,,,,
BZYR,0,0,-1.635,0,,
RSTRF,1533,13136,2023,6.3,,
BRX1,19.081,4905.892,413.951,0.477,,
CURO,75.242,915.543,232.152,4,,
PARR,126.015,946.77,152.684,1.408,,
ACB,172.727,395.158,-297.027,2.779,,
UE,432.954,1621.575,100.434,0.117,,
CRON,1556.05,8.664,-112.473,0.631,,
BBP,,,,,,
BBC,,,,,,
IVAL,,,,,,
GTIM,2.745,12.85,-2.769,2.535,,
GRF,,,,,,
DIVY,,,,,,
AAU,0.912,2.712,-4.643,0.009,,
GMS,210.909,1136.884,171.322,5.913,,
HHL.,,,,,,
PIRS,62.26,15.484,-27.157,0.127,,
SUM,311.319,1916.848,215.78,6,,
ASND,671.184,34.473,-254.421,0.33,,
EQAL,,,,,,
LCI,140.249,662.203,129.77,1.02,,
ZI,41.4,1235.3,67.2,,,
VSTO,31.375,585.544,46.124,4.4,,
ESTE,13.822,172.624,52.987,0.069,,
SHAK,37.099,308.557,27.163,7.346,,
DEA,12.012,899.077,35.439,0.037,,
HLG,37.961,0,54.529,4.183,,
CHEK,7.685,0.211,-14.069,0.064,,
SBIO,,,,,,
TCON,16.412,3.309,-22.296,0.019,,
GP,0.452,6.429,-3.227,0.048,,
AVGR,10.943,4.135,-19.359,0.081,,
PIAC,0.358,0,-1.087,0,,
INOV,93.094,945.893,76.66,2.662,,
HTGM,7.62,7.578,-18.959,0.112,,
SYBT,46.863,38.642,104.095,0.615,,22.544
PUBC,0.008,0,-1.349,0.003,,
APMFF,0.026,0.04,-0.167,0.002,,
PATI,15.233,0,0.322,0.761,,
CC,943,4271,603,7,,
TIKK,3.126,0.092,2.553,0.046,,
KEN,147.153,581.789,50.442,0.114,,
TBPMF,2.038,0,-13.861,0.03,,
HIPS,,,,,,
SIAF,0.186,7.152,7.155,,,
PPSC,,,,,,
JPEM,,,,,,
PPLC,,,,,,
CWBR,12.564,3.356,-12.583,0.013,,
TRMB,189.2,1738.3,424.3,11.484,,
VERU,6.295,6.732,-6.436,0.386,,
AJX,64.343,771.531,89.844,0,,
CKX,3.28,0,0.111,0.001,,
MFH,0.435,0,0.456,0.019,,
NVTA,151.389,312.101,-195.508,1.3,,
IQLT,,,,,,
IMTM,,,,,,
DIVA,,,,,,
GRNQ,1.257,1.654,-1.567,0.06,,
HII.,,,,,,
BLPH,9.874,1.659,-17.473,0.018,,
XSI.,,,,,,
RSRV,2.738,0,-1.006,0.007,,
EPIX,53.323,0,-12.169,0.025,,
0072B,25.503,4443.56,449.78,0.373,,
FNWB,13.519,53.656,18.977,0.197,,11.448
XHR,110.841,1315.953,120.058,0.048,,
FFXDF,48.713,0,645.208,0.011,,
FREL,,,,,,
REGL,,,,,,
SPYB,,,,,,
SMDV,,,,,,
EXPO,176.436,18.158,85.111,1.201,,
MXE,,,,,,
NXF.,,,,,,
GHII,,,,,,
BHWB,12.32,19.155,21.464,,,6.969
REBL,0.019,0.041,-5.075,0.014,,
GDDY,1062.8,2569.7,209.7,7.024,,
UNIT,142.813,5198.552,345.225,0.899,,
KALL,,,,,,
SHMP,0.109,0.501,-2.096,0.006,,
ENR,258.5,3461.6,426.9,7.5,,
BHE,347.558,206.81,49.327,10.6,,
NXRT,25.671,1402.042,14.909,0.003,,
FRTA,34.8,1277.569,81.553,4.578,,
XHU.,,,,,,
XAW.,,,,,,
RKDA,8.417,1.604,-19.719,0.061,,
XUU.,,,,,,
XFH.,,,,,,
VRAY,226.783,64.474,-112.895,0.309,,
SYZLF,53.096,0,13.118,,,
GENN,12.097,4171.732,51.284,55,,
XUH.,,,,,,
FLRT,,,,,,
RISE,,,,,,
SEDG,223.901,32.785,223.147,2.431,,
NSA,20.558,1518.065,120.562,0.459,,
JCAP,3.278,202.791,16.504,0.016,,
TOTL,,,,,,
BLBD,70.959,184.805,64.966,2.3,,
RODM,,,,,,
ROAM,,,,,,
ROUS,,,,,,
HAU.,,,,,,
FIBR,,,,,,
QVM,,,,,,
ESHY,,,,,,
ESCR,,,,,,
ESEB,,,,,,
MEAR,,,,,,
MTRX,89.715,5.347,37.93,5,,
BNED,8.242,285.842,-23.783,5.5,,
ESE,61.808,294.98,112.852,3.239,,
CABO,125.271,1723.083,334.922,2.751,,
INUV,0.373,0.395,-6.622,,,
EUSC,,,,,,
ETSY,443.293,861.059,92.678,1.24,,
OPGN,2.708,1.19,-10.97,0.04,,
KRNT,40.743,19.231,10.707,0.547,,
BLD,184.807,751.965,292.462,10.4,,
PJT,215.95,204.615,70.041,0.678,,
LITE,432.6,835.9,195.3,5.161,,
ETH,20.824,0.516,54.495,4.736,,
BNKL,2.27,0,-11.163,0.019,,
TGE,9.394,3452.255,352.76,0.8,,
BIOL,5.789,0.003,-15.621,0.157,,
EVA,9.053,629.899,74.963,,,
XBIT,714.594,0,-31.233,0.06,,
IBDM,,,,,,
IBDO,,,,,,
IBDP,,,,,,
IBDN,,,,,,
IBDQ,,,,,,
AFTY,,,,,,
ADRO,59.624,31.636,-81.386,0.096,,
TYME,26.7,0,-25.761,0.018,,
KMPH,3.217,79.412,-20.337,0.022,,
SDEM,,,,,,
SRET,,,,,,
GSBD,9.409,769.727,116.032,0,,
QNBC,12.398,4.143,21.242,0.203,,10.124
CDTX,50.268,0.942,-41.724,0.068,,
AQSZF,0.485,2.074,-2.218,0.011,,
STQN,0.064,0,-0.087,0,,
TYHT,35.33,0,0.549,0.425,,
XT,,,,,,
NORSA,3.849,48.622,11.017,,,
QED,,,,,,
QLS,,,,,,
ROSC,,,,,,
UPDC,0.007,0,-0.123,,,
BPMC,113.938,89.126,-361.326,0.383,,
HUL.,,,,,,
RTTR,1.7,0,-10.844,0.005,,
VIRT,773.28,2296.601,286.609,1.012,,
BSM,8.119,394,235.172,0,,
ECLMF,5.332,5.037,-1.412,,,
NRIM,20.518,33.243,40.974,0.431,,5.641
OPRX,18.853,0.449,-2.894,0.07,,
PPL6,15,2020,393,1.039,,
SGDJ,,,,,,
CVA,37,2537,92,4,,
CATY,177.24,404.031,457.484,1.219,,194.361
CCR,0.543,194.077,46.276,0,,
HZN,11.77,253.12,-39.39,3.6,,
CDAY,281.3,696.4,88.8,5.011,,
DBIN,52.758,17,51.616,,,23.34
PFHD,21.408,30,7.532,,,11.167
BBBK,4.688,0,14.539,0.203,,0.827
COLL,170.019,17.105,-23.748,0.255,,
CHCT,1.73,194.343,19.169,0.025,,
DTEA,46.338,72.23,-26.63,2.523,,
IFNY,0.002,0,-0.419,0.003,,
TRKA,1.589,2.251,-16.752,,,
ADAP,50.412,22.966,-139.77,0.4,,
HAYN,31.038,7.809,17.716,1.179,,
PFD,,,,,,
FFTY,,,,,,
XRLV,,,,,,
HTB.,,,,,,
SMTI,6.612,1.981,-2.74,0.04,,
LIFE,9.21,2.239,-22.978,0.044,,
RCPUF,40.351,1179.344,87.584,13.5,,
QUS,,,,,,
CHAU,,,,,,
TWMIF,5.785,970.284,-1.138,0.439,,
HMP.,,,,,,
SHOP,649.916,142.641,-141.147,5,,
TTTGF,0.443,51.919,4.93,0.6,,
SMCP,,,,,,
ADRNY,4152.076,13830.902,2987.25,380,,
NOK,6632.1,5337.101,1213.079,98.322,,
NQP,,,,,,
PID.,,,,,,
PHW.,,,,,,
PAK,,,,,,
ALTA,38.987,,70.167,0.49,,9.131
BZUN,164.362,311.631,57.65,5.979,,
PAVM,6.219,0,-14.295,0.015,,
JADSF,,64.672,,,,
CYH,,13872,904,80,,
IINX,0.51,0,0.616,0.214,,
CRCUF,1.923,0.039,-0.947,0.005,,
DORM,68.353,29.73,152.654,2.742,,
JTR.,0,2.194,-9.102,,,
LRGF,,,,,,
SMLF,,,,,,
ISCF,,,,,,
ACWF,,,,,,
INTF,,,,,,
JETS,,,,,,
VWTR,18.169,0,11.526,0.014,,
CCEL,6.541,5.856,6.652,0.097,,
PSB,62.786,0,189.085,0.155,,
AZO,176.3,5330.003,2209.341,96,,
IO,33.065,150.185,-12.577,0.519,,
REGN,1617.8,713.9,2315,8.1,,
EVH,101.008,362.525,-92.29,3.4,,
VTIFF,0.009,0,-0.384,,,
WING,12.849,315.644,42.901,0.784,,
FIT,334.479,67.902,-270.265,1.684,,
EXTN,16.683,474.545,36.351,3.6,,
BW,43.772,38.842,-9.665,2.4,,
RCE.,,,,,,
RIEH.,,,,,,
RUEH.,,,,,,
RUE.,,,,,,
RIE.,,,,,,
CCX.,,,,,,
SIOX,80.752,0.079,-69.171,0.038,,
GDIFF,3.827,164.724,39.212,24,,
SCIU,,,,,,
SCID,,,,,,
SCIX,,,,,,
SCIJ,,,,,,
APLE,0,1520.815,229.266,0.067,,
X,749,3804,-50,27.5,,
CATB,9.899,1.028,-27.088,0.027,,
XAUMF,33.535,1.512,-0.976,0.077,,
GKOS,62.43,72.63,-31.847,0.6,,
NNWWF,28.187,529.043,118.883,7.633,,
GNL,270.302,1874.231,91.279,0.001,,
SSNY,0.686,0,-5.256,0.005,,
AXAS,0,192.921,-25.716,0.065,,
ABCP,2.851,0,-4.991,0.006,,
HAE,137.311,357.527,167.118,3.004,,
IONS,683.287,785.5,365.883,0.817,,
APPF,15.813,80.687,6.752,1.24,,
GPP,0.261,23.088,49.233,0,,
OLLI,89.95,300.27,170.826,8.3,,
VERX,75.903,0.682,32.932,1.1,,
CFMS,26.394,24.694,-25.129,0.271,,
HTA.,,,,,,
APEX,1.209,1.389,5.587,0.037,,
TTCM,0.031,0.243,-1.172,0,,
LCUT,11.37,399.283,32.521,1.4,,
FSV,121.198,872.325,147.499,24,,
LABU,,,,,,
LABD,,,,,,
GUSH,,,,,,
DRIP,,,,,,
SPND,15.229,0,-1.017,0.047,,
ALRM,119.629,100.199,50.497,1.16,,
RNRG,,,,,,
BTB,4.669,0,-2.037,0.057,,
FCFS,46.527,825.072,258.57,21,,
DBI,86.564,1036.584,142.643,15.8,,
NTRA,61.926,99.953,-130.675,1.039,,
MCRB,65.126,40.324,-70.384,0.108,,
IDXX,90.326,766.382,566.246,9.2,,
AMRH,0.431,0.17,-6.325,0.397,,
STGYF,2.512,375.099,76.038,1.137,,
ISIG,7.51,0.056,-3.615,0.054,,
AES,1029,18566,2153,8,,
CRVL,83.223,85.096,60.711,3.824,,
PTLC,,,,,,
PTMC,,,,,,
PTNQ,,,,,,
HWC,432.104,365.593,611.432,4.136,,230.565
STFC,78,122,111.9,1.978,,
IMBI,10.287,66.441,-34.622,0.99,,
ICVT,,,,,,
PEXL,,,,,,
TDOC,514.353,465.404,-73.822,2.4,,
AMBC,24,6873,-46.225,0.104,,
DIN,116.043,1762.348,208.416,3.56,,
KALU,264.3,523.2,151.8,2.82,,
ALKS,203.771,279.637,-75.484,2.235,,
MNST,797.957,25.651,1418.439,3.529,,
SRG,139.26,1606.155,-66.992,0.077,,
VRTX,3109.322,622.868,1427.025,3,,
MNRO,345.476,1035.727,108.574,8.184,,
LIND,101.579,218.572,33.198,0.65,,
PRGS,154.259,284.002,72.169,1.538,,
RHDGF,12.974,0.377,0.161,0.406,,
CCJ,,996.718,73.491,1.885,,
MTG,161.847,832.739,900.633,0.724,,
TVTY,2.486,1079.528,166.181,1,,
ZBRA,30,1180,730,8.2,,
BMCH,165.496,473.823,169.762,10.2,,
BOXL,1.173,1.309,-8.059,0.068,,
AQMS,7.575,9.265,-40.794,0.023,,
XPEV,279.611,294.615,-517.618,3.715,,
AEY,1.242,0,-3.476,0.188,,
EZPW,157.567,238.38,53.508,6.8,,
PRA,175.369,306.369,3.531,0.961,,
BOKF,735.836,285.586,896.993,5.107,,419.079
SPNE,20.199,0,-34.492,0.386,,
FIZZ,304.518,32.159,165.746,1.55,,
IBKC,289.794,900.082,646.543,3.438,,320.362
BIIB,2913.7,4871.7,7503.4,7.4,,
ISGN,0.025,0,-0.718,0.006,,
MSGS,1086.372,48.556,-18.72,13,,
RPD,123.413,257.494,-45.481,1.544,,
CHAD,,,,,,
PULM,23.44,0,-13.424,0.023,,
OOMA,11.68,5.15,-15.72,0.848,,
VTVT,1.777,0.831,-20.892,0.026,,
CHMA,27.855,1.036,-37.579,0.048,,
JP,102.14,4.096,-24.142,0.911,,
ISZE,,,,,,
NHI,5.215,1439.235,217.571,,,
IVLU,,,,,,
DSKE,95.7,711.1,3.9,5.946,,
NUM,,,,,,
NUO,,,,,,
NTX,,,,,,
SWDBY,20904.165,96178.15,3514.891,,,1004.178
BCDA,5.585,0.614,-14.213,0.024,,
AGLE,19.253,4.743,-80.334,0.076,,
CSWI,18.338,25.516,66.442,0.73,,
WTT,4.245,1.018,-0.384,0.154,,
FLOW,299.2,734.1,153.2,5,,
PYPL,7349,5368,2793,23.2,,
ODFL,403.571,101.085,818.706,20.105,,
RHP,362.43,2666.299,278.19,1.206,,
TTE,27352,47773,15603,107.776,,
DDEJF,,59.549,-45.492,0.034,,
TRU,274.1,3655.5,612,8,,
IDEX,2.633,12.862,11.026,0.06,,
JAN,0.481,0.85,-12.431,0.208,,
ABQQ,1.565,0,-0.443,0.008,,
THCBF,0.991,1.313,-4.743,0.05,,
HMN,25.508,685.524,258.357,1.538,,
FTB.,,,,,,
VKQ,,,,,,
ATNI,161.287,138.84,19.741,1.7,,
BSTC,4.999,0.167,28.312,0.007,,
WNC,,465.805,142.786,6.9,,
LILAK,,8309,612.9,10,,
WRLD,11.619,553.859,82.533,3.744,,
DTF,,,,,,
KIM,,5239.178,496.607,0.502,,
AKOM,0.751,0.082,-8.556,0.02,,
UBIO,,,,,,
WETF,74.972,195.013,57.931,0.208,,
JBSS,1.591,20.381,58.524,1.47,,
ZBIO,,,,,,
PRGO,354.3,3467.5,485.2,11.2,,
TTEK,120.732,263.949,207.953,20,,
MYD,,,,,,
JPN,,,,,,
AMSC,24.699,3,-23.129,0.242,,
BLGO,0.655,0.804,-6.696,0.025,,
QCOM,11839,13437,3358,37,,
LTCCF,1.217,0.157,-5.129,,,
MOGO,,125.719,-3.654,0.258,,
OFC,14.733,1833.416,165.613,0.394,,
AHPI,0.195,0,-2.774,0.181,,
PEYE,2.288,0.005,-0.485,0.062,,
SPOK,47.361,11.575,-6.96,0.638,,
HTUS,,,,,,
GILD,11631,22720,5087,11.8,,
PLNT,436.256,1840.758,234.929,1.735,,
AES3,0,3575,550,3.476,,
PDLI,193.451,28.004,-35.514,0.109,,
MSON,7.842,0,-5.214,0.125,,
PDRX,2.409,0,-0.066,,,
LMFA,1.07,0.784,-1.219,0.009,,
RUN,269.577,2596.574,-226.111,4.8,,
MCFT,5.826,105.016,67.243,1.195,,
ACFN,1.247,0.542,-0.699,0.023,,
PFO,,,,,,
TPYP,,,,,,
ROP,709.7,4893.1,1504.4,16.46,,
MAMTF,54.452,542.804,48.137,0.098,,
MJCO,35.24,1.679,10.233,2.403,,
VGM,,,,,,
HSCZ,,,,,,
ITPOF,7.047,482.491,97.746,3.603,,
HRNNF,30,10891,1448,7.989,,
HAUD,,,,,,
HAWX,,,,,,
HEWC,,,,,,
GOVX,0.283,0.027,-2.373,0.007,,
HEWI,,,,,,
HEWL,,,,,,
HEWP,,,,,,
HEWU,,,,,,
SNPS,728.597,120.093,549.117,13.896,,
ELY,106.666,581.513,157.707,4.2,,
CRT,,0,5.232,0,,
HEWW,,,,,,
HEWY,,,,,,
LCTX,9.497,3.945,-33.776,0.055,,
SBI,,,,,,
FCO,,,,,,
LFVN,18.824,0,10.265,0.227,,
VRTS,321.472,2138.124,132.223,0.578,,
BRW,,,,,,
MYC,,,,,,
MYF,,,,,,
MYN,,,,,,
CIBR,,,,,,
CDL,,,,,,
NXP,,,,,,
USAK,0.097,147.558,2.925,2.05,,
CSA,,,,,,
CSB,,,,,,
AIMT,79.88,51.59,-249.804,0.275,,
AERG,0.088,1.5,-5.171,0.001,,
TGB,53.198,357.025,-59.853,0.731,,
CNFR,7.464,33.824,-6.239,0.147,,
TROIF,0.006,0,-0.609,,,
CBKCQ,3.198,99.793,-16.192,3.8,,
ICUI,268.67,28.896,162.571,8,,
MHK,134.785,1746.543,935.334,41.8,,
LIN,2700,11409,3280,79.886,,
ZYNE,70.063,0.11,-34.32,0.028,,
SRRA,147.528,0.374,-66.992,0.071,,
CNR,98.386,3400.704,299.23,20.1,,
ASUR,28.826,30.079,-15.895,0.423,,
CRWN.,8.361,69.804,10.471,0.012,,
KLDW,,,,,,
MYI,,,,,,
KOPN,6.029,1.792,-26.05,0.153,,
TLRDQ,14.42,1820.725,142.388,19.3,,
RNST,191.065,464.997,289.524,2.527,,98.923
AGGY,,,,,,
YLD,,,,,,
AGCO,432.8,1352.4,533.7,20.961,,
SMRTQ,9.499,451.728,-0.913,9,,
CASS,203.954,6.682,37.468,1.122,,
HQL,,,,,,
HLI,380.373,165.119,237.011,1.491,,
ALTY,,,,,,
BKE,220.969,290.238,131.497,7,,
OUSA,,,,,,
VTN,,,,,,
OLED,131.627,6.882,158.343,0.311,,
BSX,217,8868,2070,36,,
KSS,723,5842,1099,122,,
VBIV,44.213,0.817,-46.107,0.125,,
MYJ,,,,,,
PTSC.1,0.572,0,-0.668,0.001,,
NXQ,,,,,,
INTZ,3.334,1.336,4.507,0.032,,
MOTI,,,,,,
SCCAF,44.04,446.196,97.464,1.483,,
MDS.UN,,,,,,
STE,319.581,1264.635,555.154,13,,
USPH,23.548,110.619,67.425,5.4,,
IPAY,,,,,,
PVBC,11.99,17.377,20.129,0.144,,8.148
VMO,,,,,,
FC,27.699,31.648,4.477,0.94,,
LOOP,33.718,2.238,-12.762,0.053,,
PFOH,2.324,10,9.546,,,6.008
BBBY,1000.34,3409.595,14.389,55,,
CACC,187.4,3013.1,1053.9,2.016,,
DHI,1494.3,1794.1,2057.1,8.916,,
NK,15.508,10.885,-67.807,0.148,,
GBT,302.237,145.918,-289.584,0.352,,
BNET,0.041,3.802,-2.246,0.006,,
GTMAY,25.274,34.224,-1.12,1.099,,
MGIC,81.915,26.659,35.208,2.642,,
COLB,223.541,105.776,339.05,2.162,,36.547
NEOS,16.83,32.353,-10.02,0.213,,
APPTF,45.266,386.455,53.264,,,
GPK,152.9,2961.4,586.3,18,,
ACCFF,6.776,36.675,21.892,0.106,,
JCTCF,9.652,0,2.738,0.058,,
HFXE,,,,,,
HFXI,,,,,,
NXC,,,,,,
NXN,,,,,,
HFXJ,,,,,,
TWNK,285.087,975.405,147.517,2,,
FCEL,9.434,100.676,-46.569,0.301,,
SBUX,2686.6,11167,3928.3,346,,
STRS,8.765,194.593,-4.467,0.073,,
RACE,1007.659,1872.266,1031.19,4.285,,
NKSH,10.29,2.286,27.99,0.238,,7.38
TEKXF,0.208,0,-0.327,,,
SNMSF,149.549,87.68,153.179,1.8,,
SPNX,272.624,1348.983,41.763,5.2,,
AHCCF,0,46.436,-1.663,0.42,,
CHN,,,,,,
FORK,8.585,17.723,15.357,1.723,,
VZIO,176.579,3.269,29.392,,,
CENTA,497.749,693.037,151.393,5.8,,
SYTA,3.465,5.512,-8.563,,,
PMTS,18.682,316.731,19.544,1.1,,
MMU,,,,,,
CID,,,,,,
CIL,,,,,,
MQY,,,,,,
WIRE,230.965,,71.529,1.38,,
EDTXF,1.435,0.667,-4.791,0.025,,
BRBMF,0.354,4.069,-4.624,0.123,,
PPL5,12,2146,485,0.89,,
AREC,0.003,5.416,-32.66,,,
NXR,,,,,,
AXDDF,7.528,0,-1.471,,,
KW,573.9,4944.3,-30.1,0.318,,
OHI,24.117,5146.708,510.95,0.049,,
ACI,470.7,13896.1,989.3,270,,
RHHBY,6272,13987,20733,97.735,,
JEQ,,,,,,
LTC,4.244,653.228,85.512,0.022,,
PRCP,4.585,0,0.172,0.327,,
HDEF,,,,,,
NFLT,,,,,,
XMH.,,,,,,
XMC.,,,,,,
EQS,3.966,0,-3.38,,,
ESMC,0.41,0.015,-0.253,0.038,,
SHG,2237.218,65277.485,6495.235,22.204,,5170.513
CVU,4.052,31.1,-2.431,0.258,,
HDAW,,,,,,
CAKE,58.416,1479.869,110.2,46.25,,
EWRE,,,,,,
BHTG,1.848,35.85,-7.19,0.039,,
MQT,,,,,,
LFUS,531.139,686.324,214.724,11.3,,
ASGN,95.2,1108,318.5,4.3,,
APTO,79.842,1.011,-26.857,0.033,,
BLX,23.015,1541.502,93.21,0.175,,164.167
CCU,261.153,348.129,306.955,8.961,,
PSTG,362.635,569.984,-191.283,3.4,,
CREAF,107.766,0,-24.355,,,
SFEG,0.265,0,-3.053,0.002,,
EMRAF,222,13740,1377,7.418,,
OEUR,,,,,,
PR.,,,,,,
EURZ,,,,,,
CRAK,,,,,,
NAIL,,,,,,
DPST,,,,,,
WDRW,,,,,,
KEM,222.399,259.781,189.158,12.45,,
TRIB,15.231,99.766,5.134,0.579,,
CPSS,5.295,2308.776,119.69,1.01,,
MTX,241.6,867.6,235.3,3.628,,
PDCO,77.944,637.62,199.651,7.8,,
SITE,19,722.9,118.9,4.6,,
RDN,92.729,1002.435,940.609,2,,
SGRY,92.7,2807.8,258.7,9.6,,
ACRS,35.937,3.569,-90.831,0.077,,
MCA,,,,,,
MFT,,,,,,
MIY,,,,,,
MPA,,,,,,
QUMU,10.639,1.67,-5.31,0.105,,
KAI,66.786,322.615,91.194,2.8,,
STLY,2.567,0,-0.88,0.002,,
NAVB,1.048,0.512,-10.962,0.017,,
GURE,100.302,9.838,-8.12,0.606,,
LGND,71.543,648.929,-5.276,0.115,,
NAZ,,,,,,
TCO,102.762,3789.357,158.609,0.42,,
FEOVF,0.422,1.882,-0.718,,,
GTLS,119,788.8,112.7,5.743,,
VTEB,,,,,,
PESI,0.39,5.388,3.302,0.325,,
CBIO,15.369,1.319,-57.277,0.034,,
SM,0.01,2755.935,26.709,0.53,,
UVE,182.109,8.455,63.765,0.805,,
CKH,77.222,363.907,42.245,2.309,,
EMPR,0,7.716,-6.151,0.003,,
HMSY,139.268,255.558,105.116,3.1,,
ULBI,7.405,17.027,7.797,0.573,,
MTCH,3139.295,3312.344,566.612,8.7,,
GPOR,6.06,2000.412,-1699.082,0.298,,
FCBC,66.818,1.009,62.18,0.527,,5.515
POG.,0.026,2.422,-3.335,,,
KURA,26.135,7.25,-67.479,0.06,,
CIIT,0.004,0,-0.088,0,,
HGM.,,,,,,
OBMP,0.021,0,-1.768,0.002,,
NIM,,,,,,
CTMX,188.425,24.871,-105.895,0.16,,
XCEM,,,,,,
IQI,,,,,,
IBMK,,,,,,
IBMJ,,,,,,
NVCR,177.321,163.564,-0.914,0.782,,
SWH.,0.489,0,-1.838,0.108,,
ARA,34.494,672.627,82.339,4.977,,
AKTAF,0,77.204,-18.698,1.067,,
VAMO,,,,,,
HOME,12.082,1529.815,72.796,6.289,,
RGNX,69.514,8.874,-149.008,0.257,,
PEN,72.779,73.99,47.473,2.7,,
NBRV,86.019,34.502,-79.489,0.162,,
CERC,3.609,1.112,-18.994,0.018,,
ZPW.,,,,,,
ZLI.,,,,,,
ZDH.,,,,,,
ZWE.,,,,,,
EUDV,,,,,,
HPE,3753,9395,2484,61.6,,
QHCCQ,3.145,73.589,18.539,9.2,,
XSE.,,,,,,
XSC.,,,,,,
ANAB,171.017,0.654,-107.432,0.089,,
HGGOF,12.601,0,-1.354,,,
BRP,67.689,40.363,11.028,0.7,,
BSML,,,,,,
BSMM,,,,,,
SMBK,33.205,69.382,42.545,0.399,,24.575
IOTS,21.262,61.315,-13.081,0.26,,
MPVDF,34.751,379.903,1.797,0.01,,
KSA,,,,,,
FDCFF,0.131,0,-1.308,,,
AKTX,5.732,0,-16.963,0.01,,
GSLC,,,,,,
LAZY,31.458,79.13,12.993,0.935,,
LKOR,,,,,,
QLC,,,,,,
UTES,,,,,,
SPXE,,,,,,
SPXN,,,,,,
SPXV,,,,,,
MCA.H,0.033,0,-0.129,,,
SPXT,,,,,,
FDEU,,,,,,
HIG.,,,,,,
ONEQ.,,,,,,
XFS.,,,,,,
XFI.,,,,,,
XFC.,,,,,,
GEM,,,,,,
JHMC,,,,,,
JHMF,,,,,,
JHMH,,,,,,
JHML,,,,,,
JHMM,,,,,,
JHMT,,,,,,
QGTA,,,,,,
MYOK,101.436,0,-207.834,0.235,,
ABTX,213.347,194.779,93.346,0.588,,53.37
WAAS,103.307,318.881,16.985,0.78,,
JPUS,,,,,,
HJPX,,,,,,
XFA.,,,,,,
XFF.,,,,,,
LDI,73.301,706.168,206.683,6.592,,
LAUR,339.629,2062.67,326.59,50,,
BSJN,,,,,,
BSCP,,,,,,
XLRE,,,,,,
DWTR,,,,,,
SPMO,,,,,,
SPVU,,,,,,
INST,101.236,41.793,-86.013,1.397,,
SILV,110.384,0.357,-58.766,0.018,,
IMII,0.048,1.567,-0.804,0.111,,
DLTH,0.538,210.664,28.108,3.004,,
PLXP,14.001,0.997,-14.202,0.012,,
WVE,147.161,29.304,-208.317,0.301,,
VYGR,86.042,30.975,-51.679,0.186,,
AFI,27.1,45.2,-42.5,1.6,,
EQBK,88.973,37.825,64.913,0.607,,49.641
AXSM,219.966,17.333,-67.245,0.045,,
ADXDF,0.011,0,-0.723,,,
ARTL,4.424,0,-3.209,0.001,,
APLS,351.985,154.423,-288.016,0.235,,
RRR,128.835,3009.977,268.027,14,,
CNNB,2.348,38.409,3.427,0.062,,2.903
SQ,1047.118,1047.662,36.296,3.835,,
MIME,173.958,191.902,5.767,1.8,,
CNHX,,,,,,
ASHX,,,,,,
BGNE,618.011,266.528,-909.891,3.359,,
MTCH.5,465.676,1635.958,648.531,1.8,,
MRUS,197.612,3.872,-56.857,0.132,,
SPYD,,,,,,
FCPT,5.083,674.343,99.72,0.361,,
NBLX,12.676,1495.938,289.804,0,,
AC,348.588,0,-15.758,0.039,,
DTSS,6.073,0,-1.499,0.048,,
BND.,,,,,,
WINSF,0.07,0.194,-76.783,0.024,,
PXS,1.441,54.233,0.228,0,,
ITEQ,,,,,,
FCVT,,,,,,
CLPR,42.5,973.203,34.462,0.198,,
VNJA,0.07,0,-0.041,,,
IDLB,,,,,,
USLB,,,,,,
GSIE,,,,,,
TEAM,1268.441,0,-60.362,3.616,,
WBT,130.7,1432.2,217.4,5.1,,
TLEH,,,,,,
TLDH,,,,,,
ELVT,88.913,569.415,111.423,0.695,,
IAGG,,,,,,
SMIT,10.147,0,-1.338,0.018,,
BTLLF,6.299,0,-5.535,,,
XGN,72.084,26.49,-9.299,0.156,,
YRD,459.297,43.218,162.003,31.388,,
EGO,177.742,428.208,151.078,2.967,,
ETHO,,,,,,
RMR,358.448,0,205.536,0.6,,
ASET,,,,,,
DEUS,,,,,,
DEEF,,,,,,
KSHB,3.944,18.975,-48.219,0.217,,
FRHC,63.208,85.599,37.571,1.493,,
SPYX,,,,,,
QMOM,,,,,,
MJ,,,,,,
ONEY,,,,,,
ONEV,,,,,,
ONEO,,,,,,
GASX,,,,,,
