fyear,tic,gsector,ggroup,gind,gsubind,naics,sic,spcsrc,at,act,invt,lt,lct,ap,teq,re,sale,cogs,xopr,ni,oancf,ivncf,fincf
2019,ASMIY,45,4530,453010,45301010,333242,3559,,2440.903,1060.796,194.35,400.044,359.747,134.338,2040.859,2179.986,1262.075,641.695,933.089,369.213,584.468,-124.788,-230.779
2018,AEM,15,1510,151040,15104030,212221,1040,B,7852.843,1072.452,494.15,3302.831,361.449,163.032,4550.012,-1047.008,2191.221,1261.048,1523.591,-326.701,605.65,-1204.368,274.099
2019,AEM,15,1510,151040,15104030,212221,1040,B,8789.885,1193.56,580.068,3678.371,775.638,158.317,5111.514,-695.252,2494.892,901.884,1127.65,473.166,881.692,-873.884,10.61
2018,APD,15,1510,151010,15101040,325120,2810,A,19178.3,5082.2,473.6,8002,2338.3,924.6,11176.3,11668,8930.2,5242.9,6068.2,1497.8,2541.9,-1630.5,-1359.8
2019,APD,15,1510,151010,15101040,325120,2810,A,18942.8,4618.3,388.3,7554.5,1820.9,528.2,11388.3,11762.8,8918.9,4892.7,5715.6,1760,2969.9,-2113.4,-1370.5
2018,AIRT,20,2030,203010,20301010,492110,4513,C,115.142,71.348,29.968,91.784,52.794,12.553,23.358,20.986,249.834,195.685,234.061,1.34,20.936,-23.004,9.547
2019,AIRT,20,2030,203010,20301010,492110,4513,C,151.427,98.486,60.623,126.416,67.746,10.864,25.011,23.231,236.785,184.215,223.832,7.656,-25.074,8.605,19.24
2018,EGN1,55,5510,551020,55102010,221210,4924,,1616.2,121,41.7,807.5,274.4,48.4,808.7,417.8,500.7,348.9,348.9,1.3,146.1,-133.3,-12.9
2019,EGN1,55,5510,551020,55102010,221210,4924,,1743.6,122.2,42.9,913.6,304.6,56.2,830,459.1,465.5,313.8,313.8,60.3,141.1,-177.8,36.7
2018,SO1,55,5510,551010,55101010,2211,4911,,26730,1909,687,18962,1959,364,7768,2747,6032,3791,3791,945,1881,-2289,177
2019,SO1,55,5510,551010,55101010,2211,4911,,29152,2586,724,19906,2060,316,9246,2978,6125,3739,3739,1085,1779,-1963,765
2018,ALK,20,2030,203020,20302010,481111,4512,B,10912,1787,60,7161,2942,132,3751,4086,8264,6193,7091,437,1195,-631,-647
2019,ALK,20,2030,203020,20302010,481111,4512,B,12993,2037,72,8662,3201,146,4331,4668,8781,6379,7251,769,1722,-791,-813
2018,ATRI,35,3510,351010,35101020,339112,3841,B+,231.216,122.265,33.572,20.449,10.22,5.082,210.767,291.761,152.448,71.548,101.619,34.255,43.236,-5.081,-9.538
2019,ATRI,35,3510,351010,35101020,339112,3841,B+,262.031,132.338,42.093,24.161,11.274,5.707,237.87,317.745,155.066,73.525,103.684,36.761,42.465,-44.836,-11.334
2018,MATX,20,2030,203030,20303010,483113,4400,B+,2430.4,318.4,0,1675.1,370.8,246.8,755.3,425.5,2222.8,1783.3,2004.1,109,305,-260.3,-40
2019,MATX,20,2030,203030,20303010,483113,4400,B+,2845.4,289.6,0,2039.7,436.7,235.7,805.7,467.3,2203.1,1780.6,1997.4,82.7,248.8,-306.9,62
2018,ALX,60,6010,601010,60101070,531120,6798,B,1481.257,,0,1196.165,,30.889,285.092,248.316,232.825,126.864,132.203,32.844,73.538,-1.137,-176.185
2019,ALX,60,6010,601010,60101070,531120,6798,B,1265.511,,0,1011.996,,31.756,253.515,216.345,226.35,121.089,126.861,60.075,126.07,-9.449,-92.139
2018,AGMJF,20,2030,203030,20303010,483113,4400,B,1111.893,199.987,8.187,409.338,75.301,60.607,702.555,685.476,508.201,377.46,406.224,50.943,80.11,-43.444,-81.426
